name;value
GARE DU NORD;50860744
GARE DU NORD-RER;47465765
SAINT-LAZARE;47137968
GARE DE LYON-RER;39505911
GARE DE LYON;37302438
LA DEFENSE-RER;30980489
CHATELET-LES HALLES-RER;30156193
MONTPARNASSE-BIENVENUE;28953720
NANTERRE-PREFECTURE;23598469
GARE DE L'EST;21299902
REPUBLIQUE;18187603
BIBLIOTHEQUE;18129727
LES HALLES;16107112
LA DEFENSE;15329402
VAL DE FONTENAY;14444715
BASTILLE;13239442
CHATELET;12829472
HOTEL DE VILLE;11777638
BELLEVILLE;11595446
PLACE D'ITALIE;11525905
